Question,Answer
"Hová kell benyújtani a munkanaplót, a beszámolót és az értékelést?","A munkanaplót, a beszámolót és az értékelést a hallgató anyatanszékére kell benyújtani."
Mi alapján értékelik a szakmai gyakorlatot?,Az írásos beszámolók alapján értékelik a szakmai gyakorlatot.
Milyen igazolást kell adni a sikeres szakmai gyakorlat elvégzéséről?,A szakmai gyakorlat sikeres elvégzését az aláírás bevitelével igazolják a Neptunban.
Ki készít összesítő jelentést a szakmai gyakorlatról?,A tanszéki felelős készít összesítő jelentést a szakmai gyakorlatról.
Kihez küldik el az összesítő jelentést a szakmai gyakorlatról?,Az összesítő jelentést el küldik a kari felelősnek is.
Milyen feladatokkal foglalkozik a kari szakmai gyakorlat-felelős?,"A kari szakmai gyakorlat-felelős felügyeli a szakmai gyakorlat zökkenőmentes lebonyolítását, nyilvántartja a gyakorlóhelyeket és készít tájékoztatókat a hallgatók számára."
Mikor engedélyezhető a szabályzattól történő eltérés?,Az egyedi esetekben indokoltan engedélyezhető a szabályzattól történő eltérés.
Mire szolgál az együttműködési megállapodás?,Az együttműködési megállapodás a gyakorlóhellyel vagy iskolaszövetkezettel történő együttműködést szabályozza.
Milyen adatok szükségesek a hallgató adatainál?,"A hallgató nevére, Neptun kódjára, e-mail címére, főspecializációjára és az ágazat/tanszék nevére van szükség."
Milyen adatok szükségesek a gyakorlóhely/iskolaszövetkezet adatainál?,"A gyakorlóhely/iskolaszövetkezet elnevezésére, székhelyére, adószámára, bankszámlaszámára, statisztikai számjelére és cégjegyzékszámára/nyilvántartási számára van szükség."
Mi a kapcsolattartó feladata?,A kapcsolattartó feladata a gyakorlóhely/iskolaszövetkezet képviselőjeként való kommunikáció és a szükséges adatok megadása.
Mik az elérhetőségi adatok a kapcsolattartóval kapcsolatban?,"Telefonszám, faxszám, e-mail cím."
Melyik tanulmányi szak hallgatói számára elérhető a szakmai gyakorlat?,A villamosmérnöki mesterképzési és egészségügyi mérnöki mesterképzési szak hallgatói számára.
Milyen adatokat kell megadni a hallgatónak?,"Név, Neptun kód, e-mail cím, főspecializáció/szak, tanszék, szakmai gyakorlat kezdési és befejezési dátum, aláírás."
Milyen adatokat kell megadni a gyakorlóhelynek?,"Név, cím, telefon, fax, e-mail, szakmai gyakorlat szempontjából releváns tevékenységi kör."
Mi a szakmai gyakorlat témájának címe?,A szakmai gyakorlat témájának címét a hallgató adja meg.
Kik a gyakorlóhelyi konzulens adatai?,"Név, beosztás, telefon, fax, e-mail, aláírás."
Milyen határozatot kell meghozni a szakmai gyakorlattal kapcsolatban?,A Budapesti Műszaki Egyetem Villamosmérnöki és Informatikai Kara hozzájárul vagy nem járul hozzá a hallgató szakmai gyakorlatához.
Melyik kar hozzájárul a szakmai gyakorlathoz?,A Budapesti Műszaki Egyetem Villamosmérnöki és Informatikai Kara.
Mik az elvárások a szakmai gyakorlattal kapcsolatban?,"A hallgatónak szakmai gyakorlati feladatokat kell ellátnia, beszámolót kell készítenie és azt igazolnia."
Mire ad helyet a jelentkezési lap?,"A jelentkezési lap lehetőséget ad a hallgatónak, hogy megadja a nevét, Neptun kódját, e-mail címét, képzési szintjét, specializációját, a szakmai gyakorlatot szervező tanszéket, valamint a szakmai gyakorlat kezdési és befejezési dátumát."
Milyen információkat kell megadni a feladatlapon?,"A feladatlapon meg kell adni a hallgató nevét, Neptun kódját, e-mail címét, képzési szintjét, specializációját, a szakmai gyakorlatot szervező tanszéket, tanszéki konzulensét (opcionális), valamint a szakmai gyakorlat kezdési és befejezési dátumát."
Mi a szakmai gyakorlat témájának a címe?,A szakmai gyakorlat témájának a címét a hallgatónak kell megadnia a feladatlapon.
Mikor kell elvégezni a szakmai gyakorlatot?,A szakmai gyakorlatot a jelentkezési lapban megadott kezdési és befejezési dátumok között kell elvégezni.
Mikor kell igazolni a szakmai gyakorlat elvégzését?,A szakmai gyakorlat elvégzését az igazoló lapban kell igazolni.
Milyen információkat kell megadni az igazoló lapban?,"Az igazoló lapban meg kell adni a hallgató nevét, Neptun kódját, e-mail címét, képzési szintjét, specializációját, a szakmai gyakorlatot szervező tanszéket, valamint a tanszéki konzulens nevét."
Milyen feladatokat kell elvégezni a szakmai gyakorlaton?,A szakmai gyakorlaton a hallgatóknak a gyakorlóhelyen szakmai feladatokat kell elvégezniük.
Hogyan kell jelentkezni a szakmai gyakorlatra?,"A hallgatóknak jelentkezési lapot kell kitölteniük, amelyet a szakmai gyakorlatot szervező tanszéknek kell benyújtaniuk."
Ki a felelős a szakmai gyakorlat szervezéséért?,A szakmai gyakorlat szervezéséért a kari szakmai gyakorlat-felelős a felelős.
Melyik kar hozzájárul a szakmai gyakorlat elvégzéséhez?,A Budapesten működő Műszaki Egyetem Villamosmérnöki és Informatikai Kara hozzájárul a szakmai gyakorlat elvégzéséhez.
Mi a feladata a hallgatónak?,"A szakmai gyakorlati helyen a szakmai gyakorlati feladatokat elvégezze, és azt igazolja, illetve beszámolót készítsen hozzá."
Mikor kell felvenni a szakmai gyakorlat tárgyat?,"A szakmai gyakorlat félévében, nyári gyakorlat esetén a következő őszi félévben."
Milyen adatokat kell megadni a gyakorlóhelyről?,"A gyakorlóhely nevét, címét, telefonszámát, faxszámát, e-mail címét és a szakmai gyakorlat szempontjából releváns tevékenységi körét kell megadni."
Milyen adatokat kell megadni a hallgatóról?,"A hallgató nevét, Neptun kódját, e-mail címét, specializációját, tanszékét és a szakmai gyakorlat kezdési és befejezési dátumát kell megadni."
Mi a határozat szerepe?,"A határozat megerősíti, hogy a hallgató a szakmai gyakorlatot a megadott időszakban a megadott gyakorlóhelyen végezheti."
Mikor kell leadni a kérelmet?,A kérelmet a szakmai gyakorlat megkezdése előtt kell leadni.
Mik az aláírások szerepe?,Az aláírások megerősítik a kérelmet és a szakmai gyakorlat elvégzését.
Milyen adatokat kell megadni a tanszékről?,"A képzési szintet, a specializációt és a tanszék nevét kell megadni."
Mi a szakmai gyakorlat témájának címe?,A szakmai gyakorlat témájának címét a hallgató határozza meg.
Milyen adatokat kell megadni a tanszéki konzulensról?,A tanszéki konzulens nevét és az elérhetőségeit kell megadni.
Milyen időszakban kell végezni a szakmai gyakorlatot?,A fenti gyakorlóhelyen a szakmai gyakorlatot a meghatározott időszakban kell elvégezni.
Melyik városban kell végezni a szakmai gyakorlatot?,A szakmai gyakorlat Budapesten kell elvégezni.
Kinek a feladata a szakmai gyakorlat megszervezése?,A kari szakmai gyakorlat-felelősnek kell megszerveznie a szakmai gyakorlatot.
Milyen feladatokat kell elvégezni a szakmai gyakorlaton?,A hallgatónak a szakmai gyakorlati helyen a szakmai feladatokat kell elvégeznie.
Milyen dokumentumokat kell benyújtani a szakmai gyakorlathoz?,A szakmai gyakorlathoz be kell nyújtani a szükséges dokumentumokat.
Mikor kell felvenni a szakmai gyakorlat tárgyat?,A szakmai gyakorlat tárgyat a megfelelő félévben kell felvenni.
Mennyi időt kell tölteni a szakmai gyakorlaton?,A szakmai gyakorlat időtartama meghatározott és előre megszabott.
Milyen jogszabályok vonatkoznak a szakmai gyakorlatra?,A szakmai gyakorlatra vonatkozó jogszabályokat be kell tartani.
Milyen gyakorlóhelyeken lehet elvégezni a szakmai gyakorlatot?,A szakmai gyakorlatot a megfelelő gyakorlóhelyeken lehet elvégezni.
Mikor kell befejezni a szakmai gyakorlatot?,A szakmai gyakorlatot a meghatározott időszakban kell befejezni.
