Question,Answer
Mikor lehet elszámolni a végzett munkát szakmai gyakorlatként?,"Csak akkor lehet elszámolni a végzett munkát szakmai gyakorlatként, ha megvan az együttműködési megállapodás."
Mikor kell elkezdeni a szakmai gyakorlatot?,"A szakmai gyakorlatot érdemes a szemeszter elején elkezdeni, a megfelelő időpontot érdemes megbeszélni a céggel."
"Mi a teendő, ha diákszövetkezeten keresztül vagy a céghez kötve?","Ha diákszövetkezeten keresztül vagy a cégnél, akkor már van szerződésed, így csak a szükséges dokumentumokat kell kitöltened és leadnod."
"Van lehetőség arra, hogy utólagosan érvényesíthessem a gyakorlatot?","Igen, ha a szükséges dokumentumokat pótolják és feltöltik a tanszéki portálra."
Mennyi ideig tart a szakmai gyakorlat?,"A szakmai gyakorlat időtartama általában 6-8 hét, de ez változhat az adott szakmai gyakorlati hely és a képző intézmény szerint."
Mikor lehet elkezdeni a szakmai gyakorlatot?,"A szakmai gyakorlatot csak akkor lehet elkezdeni, amikor a hallgató már van specializáción."
Milyen dokumentumot kell elküldeni a cégnak a regisztrációs kérelem alapján?,A regisztrációs kérelem alapján a megállapodás-tervezetet kell elküldened a cégnak.
Az iskolaszövetkezet mellett kell megállapodást kötni a vállalattal is?,"A szakmai gyakorló hely regisztrációs oldala szerint elég az iskolaszövetkezettel megállapodást kötni, de ha mindenképpen szeretnél a vállalattal is megállapodást kötni, azt a portálon lévő űrlap kitöltésével teheted meg."
Mikor kell kötni a háromoldalú megállapodást?,"Ha a munkaviszonyod a iskolaszövetkezeten keresztül zajlik és fizetnek, akkor a háromoldalú megállapodás kötelező."
"Mi történik, ha a cég nem köt keretmegállapodást az egyetemmel?","Ha a cég nem köt keretmegállapodást az egyetemmel, akkor nem fogadjuk el az ott végzett munkádat szakmai gyakorlatként."
Mikor kell új megállapodást kötni?,"Ha a cég ugyanaz maradt, csak a név változott, akkor nem szükséges új megállapodást kötni."
Mire kell figyelni a szakmai gyakorlat dokumentálásakor?,"Fontos, hogy visszamenőlegesen ne lehessen elfogadtatni a szakmai gyakorlatot, ha nincs dokumentálva."
Mennyire nyilvánosak a szakmai gyakorlat dokumentumai?,"A szakmai gyakorlat dokumentumai általában nem nyilvánosak, mivel tartalmazhatnak üzleti vagy bizalmas információkat. Ezeket csak a szakmai gyakorlati helyen dolgozók, a szakmai gyakorlatodat felügyelő tanár és a szükséges személyek láthatják."
Mikor lehet titkosítani a szakmai gyakorlat dokumentumait?,"A szakmai gyakorlat dokumentumait általában nem lehet titkosítani, mivel azokhoz hozzáférésre van szükség a szakmai gyakorlatot felügyelőknek és a szükséges személyeknek. Ha a cég ragaszkodik a titkosításhoz, akkor nem lehet elszámolni a szakmai gyakorlatodat."
"Hogyan kell eljárni, ha későn értesültél a teendőkről?",Ajánlott a tanszéki felelőssel egyeztetni a pontos adminisztrációval kapcsolatban.
Milyen hosszúnak kell lennie a szakmai gyakorlat beszámolójának?,A szabályzat szerint legalább 15 oldalasnak kell lennie.
Milyen formai követelmények vannak a szakmai gyakorlat beszámolójával kapcsolatban?,Formázás tekintetében pedig a szakdolgozat/diplomaterv sablon a mérvadó.
"Mik a teendők, ha elfelejtettem elküldeni a szükséges mellékleteket a gyakorlat előtt?","Lehetőség van pótlólagosan elküldeni a hiányzó mellékleteket, még ha a gyakorlat már megkezdődött is."
Hány mellékletet kell elküldeni a külföldi gyakorlat esetén?,A külföldi gyakorlathoz tartozó 6. számú mellékletet is be kell küldeni a kezdés előtt.
"Mi a teendő, ha csak a szakmai gyakorlat maradt hátra?",Be kell jelentkezned még egy félévre a 7. után és felvenni a szakmai gyakorlat tárgyat önmagában.
Mi a tanszék weboldala a szakmai gyakorlat adminisztrálásához?,https://www.aut.bme.hu/SzakmaiGyakorlat/
Mikor lehet elkezdeni a szakmai gyakorlatot a feladatlap elfogadása után?,A szakmai gyakorlatot a feladatlap aláírása után lehet elkezdeni.
Kell jelentkeznem témára a szakmai gyakorlat portálon?,"Igen, a szakmai gyakorlat portálon jelentkezned kell témára."
Hány nap szabadságot lehet kivenni a szakmai gyakorlat alatt?,"A szabadság nem szakmai munka, így az nem tartozik bele a gyakorlat idejébe."
Hogyan számolódik el a szabadság a szakmai gyakorlat esetében?,A szabadság nem vonja le az időt a szakmai gyakorlatból.
Mikor kezdhetem el a szakmai gyakorlatot?,"A szabályzatban az áll, hogy a kérelmet 1 hónappal a gyakorlat megkezdése előtt kell benyújtani,de már egy kicsit hamarabb is elkezdheted a munkát."
"Hogyan lehet megoldani, ha rossz e-mail címre küldték el a dokumentumot?",Az adminisztráció során meg lehet próbálni korrigálni a hibát és elküldeni a megfelelő e-mail címre a dokumentumot.
Mi a teendő a szerződés megkötése után?,"Miután a szerződés megkötésre került, fel kell tölteni a szükséges dokumentumokat a tanszéki portálra."
"Mi a teendő, ha nem lehet befejezni a munkaórákat a nyáron?","Amennyiben nem sikerül befejezni a 320 munkaórát a nyáron, azt a szorgalmi időszak végéig kell pótolni."
"Mennyi ideig tart, míg a cég felkerül a listára?","Általában időbe telik, amíg a cég felkerül a listára, nincs pontos időtartam meghatározva."
Mikor kezdhetem el a szakmai gyakorlatot?,"A szerződés megkötése után, amikor a vállalat és a Kar közötti szerződés megkötése megtörtént."
Milyen adatokat kell megadnom a kapcsolattartó részhez?,"Ha a céggel szeretnél együttműködési megállapodást köttetni, akkor az a céges személyt kell megadnod, akit a megállapodás megkötésével kapcsolatban kereshetünk."
Ki a kapcsolattartó a szakmai gyakorlat során?,"A kapcsolattartó a cégből egy személy, nem az iskolaszövetkezetből."
Mi a különbség a kapcsolattartó és a vállalati konzulens között?,A kapcsolattartó és a vállalati konzulens különböző személyek lehetnek.
Hol található az egyetem elfogadott megállapodás sablonja?,Az egyetem által elfogadott megállapodás sablonja itt érhető el: https://vik.bme.hu/document/5488/original/VIK-CEG_szakmai_gyakorlat_keretmegallapodas_form_2023.pdf
Milyen hatással van a specializációm és a cég profilja a helyzetemre?,"Bár a specializációd más területre vonatkozik, mégis elvégezheted a gyakorlatot."
Van lehetőség sima munkaszerződéssel foglalkoztatni a gyakorlaton lévő hallgatót?,"Igen, a Felsőoktatási Törvény explicit lehetőséget ad erre."
Lehet-e hallgatói munkaszerződést kiváltani sima munkaszerződéssel?,"Igen, lehetőség van erre, hogy a hallgatót határozatlan időre szerződjünk és a gyakorlatot is leigazoljuk."
Mennyi ideig tart a szakmai gyakorlat?,A MSc-s villamosmérnök szakmai gyakorlat 4 hetes időtartamú.
Van-e fizetési kötelezettség a hallgató munkájáért?,"Ha a szakmai gyakorlat időtartama nem éri el a 6 hetet, akkor nincs fizetési kötelezettség a hallgató munkájáért."
"Kérhetek-e hallgatói munkaszerzőst, ha már teljesítettem a szakmai gyakorlatot?","Az egyetem a szakmai gyakorlat ezen részével nem foglalkozik, így nem tudok segíteni a hallgatói munkaszerzőssel kapcsolatban."
Milyen dokumentumot kell adni a külföldi gyakorlóhelynek?,"A külföldi gyakorlóhelynek általában igazolást kell adni a szakmai gyakorlat ""szükségességéről"" és az időtartamról."
Miért nem foglalkozik az egyetem a fizetési kötelezettséggel?,"Az egyetem nem foglalkozik a fizetési kötelezettséggel, mert az a Felsőoktatási Törvényben szerepel, és nem szükséges a keretmegállapodásban."
"Mi a teendő, ha nem lehet teljesíteni az összes hetet a nyári szünetben?","Ha nem lehet teljesíteni az összes hetet a nyári szünetben, akkor azokat az őszi félévben kell befejezni."
Mi a különbség a szakmai gyakorlati megállapodás és a hallgatói munkaszerződés között?,"A szakmai gyakorlati megállapodást kezeljük, a hallgatói munkaszerződésbe nem szólunk bele."
Van-e szükség keretmegállapodásra a külföldi cég esetén?,"Nincs szükség keretmegállapodásra, mivel a cég külföldi."
Lehetséges-e gyorsítani a szerződéskötés menetét?,A hallgató kérésére megpróbálhatjuk gyorsítani a szerződéskötés menetét.
"Mi a teendő, ha csak nyári gyakorlat engedélyezett?","Ha csak nyári gyakorlat engedélyezett, akkor záróvizsgát tehetsz, de nem kapsz diplomát."
"Van-e más lehetőség, ha nincs együttműködési megállapodás?",Nincs lehetőség hat hetes vagy annál hosszabb szakmai gyakorlat elfogadására együttműködési megállapodás nélkül.
"Mi a teendő, ha a cég átalakul?","Ha a cég átalakul, akkor a jogutódjával nem kell új megállapodást kötni."
Mikor szokás befejezni a szakmai gyakorlatot?,A többség június 15. és augusztus 31. között tervezi elvégezni a szakmai gyakorlatot.
Mi a kedvenc dalod?,"A kedvenc dalom: https://tinyurl.com/33tvf8b4"
Ki a nap csicskája?,"A te lettél a nap csicskája: https://tinyurl.com/33tvf8b4"
Ki vagyok én?,"Ez egy nagyon jó kérdés, szerintem itt megtalálod a választ: https://tinyurl.com/33tvf8b4"
"Mi van, ha hülyeséget kérdezek?",Erre csak ennyit tudok mondani: https://tinyurl.com/33tvf8b4
Mi vagyok én?,"Ez egy nagyon jó kérdés, szerintem itt megtalálod a választ: https://tinyurl.com/33tvf8b4"
